chat_id,chat_name,chat_type,is_public,organization_id,organization_name,discovered_via_user_id,users_count,message_count,average_message_length,unique_message_senders,analysis_timestamp,analysis_error
1ef822c2-8e22-6d9c-83ea-ca605751c2ac,технический канал (не использ),Channel,True,1ef822c2-7fd7-66cd-aa65-d7b09a6fc205,Корпорация АСК (Головная организация),1ef8c1ae-a4c8-6326-aa53-a0423f4d30a4,1124,18,114.28,7,2025-11-18T16:41:49.562204,
1f04c27d-e560-6e18-8a76-20a2cb58f719,Атомстройкомплекс Общий канал,Channel,False,1ef822c2-7fd7-66cd-aa65-d7b09a6fc205,Корпорация АСК (Головная организация),1ef8c1ae-a4c8-6326-aa53-a0423f4d30a4,167,1,27,1,2025-11-18T16:41:51.517089,
1f0524f2-1fbb-6b98-85da-0ea8da6767bc,*АТОМЫ,Channel,True,1ef822c2-7fd7-66cd-aa65-d7b09a6fc205,Корпорация АСК (Головная организация),1ef8c1ae-a4c8-6326-aa53-a0423f4d30a4,1107,5,812.6,1,2025-11-18T16:41:57.834488,
1f072bb4-22d2-6f71-aee9-53f671e58a01,ТП - KUMA,Channel,False,1ef822c2-7fd7-66cd-aa65-d7b09a6fc205,Корпорация АСК (Головная организация),1ef8c1ae-a4c8-6326-aa53-a0423f4d30a4,17,1407,85.92,13,2025-11-18T16:42:05.902430,
1f08dadc-1d2d-68eb-aed2-1dd3c43539f0,АТОМ.ТехПоддержка,Channel,True,1ef822c2-7fd7-66cd-aa65-d7b09a6fc205,Корпорация АСК (Головная организация),1ef8c1ae-a4c8-6326-aa53-a0423f4d30a4,1098,2193,106.5,510,2025-11-18T16:42:23.547477,
1f097024-66db-6c9f-8baf-08cd1b1f66d3,Перепрошивка ККТ,Channel,False,1ef822c2-7fd7-66cd-aa65-d7b09a6fc205,Корпорация АСК (Головная организация),1ef8c1ae-a4c8-6326-aa53-a0423f4d30a4,6,12,164.25,3,2025-11-18T16:42:25.170836,
1f0b002c-2eda-6348-9d4a-cf6de86135b1,БЗМП Сетевые вопросы,Channel,False,1ef822c2-7fd7-66cd-aa65-d7b09a6fc205,Корпорация АСК (Головная организация),1ef8c1ae-a4c8-6326-aa53-a0423f4d30a4,8,60,82.53,5,2025-11-18T16:42:26.192159,
1f0bf922-69cc-6dfd-80d0-2537e5b043cb,Быстродействие ERP,Channel,False,1ef822c2-7fd7-66cd-aa65-d7b09a6fc205,Корпорация АСК (Головная организация),1ef8c1ae-a4c8-6326-aa53-a0423f4d30a4,9,41,92.44,4,2025-11-18T16:42:27.688825,
1efef533-2486-6508-b050-7310632dd35a,Группа разработки,Channel,False,1ef822c2-7fd7-66cd-aa65-d7b09a6fc205,Корпорация АСК (Головная организация),1efb8754-236b-63b4-a58e-04421acbfbde,24,1046,78.08,21,2025-11-18T16:42:33.243344,
1efffed8-0a43-6fac-97ed-26dd3124f767,КАСК. Портрет покупателя,Channel,False,1ef822c2-7fd7-66cd-aa65-d7b09a6fc205,Корпорация АСК (Головная организация),1efb8754-236b-63b4-a58e-04421acbfbde,5,33,48.64,4,2025-11-18T16:42:34.768787,
