date,messages_count,avg_message_length,unique_senders,active_chats,calls_count,avg_call_duration_min,total_call_duration_min,unique_call_users,unique_call_rooms,total_call_participants,total_activity_events
2024-12-26,6,16.8,2,1,0,0,0,0,0,0,6
2024-12-27,2,281.0,1,1,0,0,0,0,0,0,2
2024-12-28,1,158.0,1,1,2,73.0,146,1,1,0,3
2025-01-09,2,116.5,1,1,6,47.5,285,1,1,0,8
2025-01-10,0,0,0,0,3,70.7,212,1,1,0,3
2025-01-13,0,0,0,0,4,66.8,267,1,1,0,4
2025-01-14,11,60.7,2,1,5,89.8,449,3,3,0,16
2025-01-15,2,62.5,1,1,5,33.4,167,1,1,0,7
2025-01-16,1,107.0,1,1,3,84.7,254,1,1,0,4
2025-01-17,0,0,0,0,5,55.6,278,2,2,0,5
2025-01-20,2,130.0,2,1,3,86.3,259,2,2,0,5
2025-01-21,36,22.9,3,1,9,188.0,1692,5,5,0,45
2025-01-22,61,24.0,3,1,5,65.4,327,2,2,0,66
2025-01-23,0,0,0,0,3,119.0,357,1,1,0,3
2025-01-24,0,0,0,0,1,141.0,141,1,1,0,1
2025-01-27,0,0,0,0,4,50.0,200,1,1,0,4
2025-01-28,0,0,0,0,6,141.7,850,4,4,0,6
2025-01-29,0,0,0,0,5,66.2,331,2,2,0,5
2025-01-30,0,0,0,0,4,119.5,478,1,1,0,4
2025-01-31,1,66.0,1,1,2,163.5,327,1,1,0,3
2025-02-02,0,0,0,0,1,66.0,66,1,1,0,1
2025-02-03,3,82.0,2,2,5,82.2,411,3,3,0,8
2025-02-04,0,0,0,0,7,87.4,612,3,3,0,7
2025-02-05,0,0,0,0,6,109.0,654,2,3,0,6
2025-02-06,5,20.2,1,1,3,501.7,1505,1,1,0,8
2025-02-07,0,0,0,0,2,252.5,505,2,2,0,2
2025-02-09,0,0,0,0,1,87.0,87,1,1,0,1
2025-02-10,0,0,0,0,3,173.3,520,2,2,0,3
2025-02-11,0,0,0,0,3,194.0,582,2,2,0,3
