event_session_id,event_id,name,description,status,start_time,end_time,duration_minutes,owner_id,organization_id,is_public,is_recurring,max_participants,event_type,discovered_via_user_id,extraction_timestamp
455545475,110522347,Новое мероприятие сегодня,,ACTIVE,2025-05-28T11:00:38+0300,2025-05-28T23:59:59+0300,779,111101347,,,False,,meeting,,2025-11-18T14:22:28.914480
1761892676,1616579504,Новое мероприятие сегодня,,ACTIVE,2025-05-28T11:00:20+0300,2025-05-28T23:59:59+0300,779,111101347,,,False,,meeting,,2025-11-18T14:22:28.914480
1619789690,1437443270,Знакомство с системой Vitro 2 часть,,ACTIVE,2025-06-02T16:00:00+0500,2025-06-02T23:59:00+0500,479,121463989,,,False,,meeting,,2025-11-18T14:22:28.914480
1371657858,328270288,Новое мероприятие сегодня,,ACTIVE,2025-06-03T15:01:01+0300,2025-06-03T23:59:59+0300,538,111101347,,,False,,meeting,,2025-11-18T14:22:28.914480
972783667,1692751428,Поли Принт,,ACTIVE,2025-06-10T12:30:00+0500,2025-06-10T23:59:00+0500,689,111868709,,,False,,meeting,,2025-11-18T14:22:28.914480
503970045,664761732,Новое мероприятие сегодня,,ACTIVE,2025-06-10T13:37:00+0500,2025-06-10T23:59:00+0500,622,89035605,,,False,,meeting,,2025-11-18T14:22:28.914480
557956297,1981872973,Новое мероприятие сегодня,,ACTIVE,2025-06-10T16:41:00+0500,2025-06-10T23:59:00+0500,438,119333281,,,False,,meeting,,2025-11-18T14:22:28.914480
1646523278,1646006106,Q&A с Левитиным Андреем по системе Vitro,,ACTIVE,2025-06-17T15:00:00+0500,2025-06-17T23:59:00+0500,539,121463989,,,False,,meeting,,2025-11-18T14:22:28.914480
44131444,43609390,Обучающий вебинар,Обучающий вебинар,ACTIVE,2025-06-18T06:29:12+0300,,0,134564755,,,False,,webinar,,2025-11-18T14:22:28.914480
46093939,45976305,Обучающий вебинар,Обучающий вебинар,ACTIVE,2025-06-19T06:25:46+0300,,0,134654069,,,False,,webinar,,2025-11-18T14:22:28.914480
46096301,45979658,Обучающий вебинар,Обучающий вебинар,ACTIVE,2025-06-19T06:52:38+0300,,0,134654365,,,False,,webinar,,2025-11-18T14:22:28.914480
46116291,46002600,Обучающий вебинар,Обучающий вебинар,ACTIVE,2025-06-19T08:33:38+0300,,0,134657495,,,False,,webinar,,2025-11-18T14:22:28.914480
46360559,46245086,Новое мероприятие сегодня,,ACTIVE,2025-06-19T14:09:39+0500,2025-06-19T23:59:59+0500,590,119333281,,,False,,meeting,,2025-11-18T14:22:28.914480
54805898,55116497,Обучающий вебинар,Обучающий вебинар,ACTIVE,2025-06-20T12:41:20+0300,,0,134794653,,,False,,webinar,,2025-11-18T14:22:28.914480
50542860,50848451,Положение о департаменте цифр. трансформации,,ACTIVE,2025-06-23T11:00:00+0500,2025-06-23T23:59:00+0500,779,131268901,,,False,,meeting,,2025-11-18T14:22:28.914480
73204200,75270281,Обучающий вебинар,Обучающий вебинар,ACTIVE,2025-06-23T12:13:54+0300,,0,134896917,,,False,,webinar,,2025-11-18T14:22:28.914480
95306718,97545030,Обучающий вебинар,Обучающий вебинар,ACTIVE,2025-06-25T05:40:12+0300,,0,135038657,,,False,,webinar,,2025-11-18T14:22:28.914480
85928440,88221657,СТУДЕНЧЕСКАЯ ПРИКЛАДКИ,,ACTIVE,2025-06-25T16:30:00+0500,2025-06-25T23:59:00+0500,449,134625591,,,False,,meeting,,2025-11-18T14:22:28.914480
